index,YEAR,CRUISE6,SEASON,ID,TOWDATE,STRATUM,STATION,BEGLAT,BEGLON,SETDEPTH,BOTTEMP,COMNAME,N_CAUGHT,KG_CAUGHT
17,1949,194926,SUMMER,1.95E+17,8/12/49 16:27,1050,701,4103,7138,37,9.6,HADDOCK,5,
18,1949,194926,SUMMER,1.95E+17,8/12/49 1:40,1090,401,4102,7028,37,11.8,HADDOCK,1,
19,1949,194926,SUMMER,1.95E+17,7/29/49 1:09,1130,701,4048,6805,62,10.9,HADDOCK,77,
20,1949,194926,SUMMER,1.95E+17,7/31/49 11:36,1130,2301,4106,6728,59,12.6,HADDOCK,438,
21,1949,194926,SUMMER,1.95E+17,7/31/49 23:12,1160,2702,4054,6654,90,12.9,HADDOCK,1,
22,1949,194926,SUMMER,1.95E+17,8/1/49 12:05,1160,3201,4121,6632,88,10.1,HADDOCK,201,
23,1949,194926,SUMMER,1.95E+17,8/2/49 16:08,1160,4101,4135,6611,95,10.2,HADDOCK,80,
24,1949,194926,SUMMER,1.95E+17,7/30/49 12:50,1190,1601,4055,6836,55,14.9,HADDOCK,5,
25,1949,194926,SUMMER,1.95E+17,8/2/49 5:35,1190,3801,4141,6726,44,17.3,HADDOCK,3,
26,1949,194926,SUMMER,1.95E+17,8/4/49 5:10,1220,5301,4212,6742,183,8.3,HADDOCK,55,
27,1949,194926,SUMMER,1.95E+17,8/4/49 7:30,1220,5401,4203,6750,183,,HADDOCK,16,
28,1949,194926,SUMMER,1.95E+17,7/28/49 5:30,1230,301,4107,6838,55,15.3,HADDOCK,252,
29,1949,194926,SUMMER,1.95E+17,8/5/49 4:05,1240,6101,4148,6841,154,,HADDOCK,1,
30,1949,194926,SUMMER,1.95E+17,8/17/49 5:05,1240,4202,4136,6908,176,,HADDOCK,17,
31,1949,194926,SUMMER,1.95E+17,8/16/49 17:20,1250,3901,4123,6933,26,13.5,HADDOCK,5,
32,1949,194926,SUMMER,1.95E+17,9/8/49 5:24,1280,201,4233,6936,245,,HADDOCK,11,
33,1949,194926,SUMMER,1.95E+17,9/9/49 8:38,1360,1001,4314,6823,190,,HADDOCK,13,
34,1949,194926,SUMMER,1.95E+17,9/11/49 15:17,1380,2101,4316,6927,161,,HADDOCK,2,
35,1949,194926,SUMMER,1.95E+17,9/12/49 8:00,1380,2401,4335,6810,181,,HADDOCK,2,
36,1949,194926,SUMMER,1.95E+17,9/11/49 0:50,1400,1601,4254,7034,82,,HADDOCK,1,
37,1963,196305,SUMMER,1.96E+17,8/17/63 23:05,1010,183,4044,7239,38,9.7,HADDOCK,1,0
38,1963,196305,SUMMER,1.96E+17,8/14/63 11:00,1110,154,4002,7018,159,11.7,HADDOCK,2,0
39,1963,196305,SUMMER,1.96E+17,8/9/63 18:21,1170,124,4127,6607,132,9.4,HADDOCK,10,11.8
40,1963,196305,SUMMER,1.96E+17,8/9/63 6:20,1190,120,4108,6735,55,12.5,HADDOCK,331,93
41,1963,196305,SUMMER,1.96E+17,7/27/63 14:23,1220,71,4206,6746,186,6.9,HADDOCK,32,73.9
42,1963,196305,SUMMER,1.96E+17,8/9/63 0:48,1230,118,4121,6831,70,12.2,HADDOCK,6,4.5
43,1963,196305,SUMMER,1.96E+17,7/28/63 5:45,1240,80,4150,6834,165,6.1,HADDOCK,13,28.1
44,1963,196305,SUMMER,1.96E+17,8/8/63 16:50,1240,115,4138,6842,143,5.8,HADDOCK,1,5.9
45,1963,196305,SUMMER,1.96E+17,7/27/63 5:32,1290,66,4217,6716,274,7.5,HADDOCK,41,107.5
46,1963,196305,SUMMER,1.96E+17,7/21/63 23:22,1360,27,4311,6707,183,8.3,HADDOCK,2,3.2
47,1963,196305,SUMMER,1.96E+17,7/22/63 17:21,1360,34,4259,6701,220,8.3,HADDOCK,6,10
48,1963,196307,FALL,1.96E+17,12/5/63 16:05,1160,125,4117,6636,88,8,HADDOCK,260,38.1
49,1963,196307,FALL,1.96E+17,11/26/63 13:25,1200,98,4145,6809,51,8.9,HADDOCK,51,1.4
50,1963,196307,FALL,1.96E+17,11/25/63 19:00,1220,89,4206,6734,165,6.1,HADDOCK,345,15
51,1963,196307,FALL,1.96E+17,12/3/63 20:37,1240,107,4206,6905,174,6.1,HADDOCK,13,29.9
52,1963,196307,FALL,1.96E+17,12/3/63 22:52,1240,108,4204,6843,161,6.2,HADDOCK,35,2.7
53,1963,196307,FALL,1.96E+17,11/18/63 14:30,1290,37,4243,6746,192,6.9,HADDOCK,47,44.5
54,1963,196307,FALL,1.96E+17,11/22/63 4:57,1290,67,4228,6558,183,5.6,HADDOCK,35,5.4
55,1963,196307,FALL,1.96E+17,11/22/63 8:24,1290,68,4216,6555,238,5.7,HADDOCK,9,11.8
56,1963,196307,FALL,1.96E+17,11/22/63 18:54,1320,71,4224,6538,91,5.8,HADDOCK,356,42.6
57,1963,196307,FALL,1.96E+17,11/19/63 17:07,1330,46,4356,6633,90,7.4,HADDOCK,322,125.2
58,1963,196307,FALL,1.96E+17,11/19/63 12:20,1340,45,4357,6659,165,7.3,HADDOCK,104,73
59,1963,196307,FALL,1.96E+17,11/20/63 3:05,1340,50,4330,6641,124,6.7,HADDOCK,254,53.5
60,1963,196307,FALL,1.96E+17,11/18/63 17:00,1360,38,4259,6751,183,6.9,HADDOCK,20,42.6
61,1963,196307,FALL,1.96E+17,11/18/63 18:48,1360,39,4307,6805,170,6.6,HADDOCK,28,26.3
62,1963,196307,FALL,1.96E+17,11/16/63 17:40,1370,26,4302,6850,183,6.4,HADDOCK,1,3.6
63,1963,196307,FALL,1.96E+17,11/17/63 11:49,1380,31,4330,6832,146,7.8,HADDOCK,5,4.1
64,1964,196401,WINTER,1.96E+17,2/8/64 8:00,1130,139,4039,6752,82,4.7,HADDOCK,13,1.8
65,1964,196401,WINTER,1.96E+17,2/7/64 17:02,1160,132,4047,6649,119,5,HADDOCK,6,2.7
66,1964,196401,WINTER,1.96E+17,1/28/64 0:50,1200,94,4158,6729,46,5.6,HADDOCK,58,40.4
67,1964,196401,WINTER,1.96E+17,1/27/64 1:03,1210,85,4203,6631,82,4.3,HADDOCK,14,18.6
68,1964,196401,WINTER,1.96E+17,1/28/64 5:30,1220,97,4159,6752,137,5.3,HADDOCK,59,30.8
69,1964,196401,WINTER,1.96E+17,2/5/64 0:33,1240,108,4150,6946,115,5,HADDOCK,195,17.2
70,1964,196401,WINTER,1.96E+17,2/5/64 2:50,1240,109,4155,6939,174,5,HADDOCK,9,15
71,1964,196401,WINTER,1.96E+17,2/5/64 19:20,1240,115,4138,6842,146,5,HADDOCK,25,13.6
72,1964,196401,WINTER,1.96E+17,1/25/64 8:02,1290,68,4215,6556,234,5.6,HADDOCK,31,15
73,1964,196401,WINTER,1.96E+17,1/25/64 13:35,1310,71,4227,6548,95,3.8,HADDOCK,289,95.3
74,1964,196401,WINTER,1.96E+17,1/26/64 3:20,1320,77,4241,6512,93,3.9,HADDOCK,154,175.5
75,1964,196401,WINTER,1.96E+17,1/23/64 5:10,1330,45,4357,6632,91,6.1,HADDOCK,68,35.4
76,1964,196401,WINTER,1.96E+17,1/23/64 23:19,1340,54,4321,6652,201,6.1,HADDOCK,74,51.7
77,1964,196401,WINTER,1.96E+17,1/20/64 19:59,1360,39,4326,6754,256,6.9,HADDOCK,2,7.7
78,1964,196401,WINTER,1.96E+17,1/23/64 21:08,1360,53,4313,6707,201,6.1,HADDOCK,42,25.9
79,1964,196401,WINTER,1.96E+17,1/19/64 21:30,1380,30,4331,6831,165,6.6,HADDOCK,6,9.1
80,1964,196401,WINTER,1.96E+17,1/17/64 15:25,1400,8,4246,7032,91,4.6,HADDOCK,8,5.4
81,1964,196401,WINTER,1.96E+17,1/17/64 17:35,1400,10,4251,7038,64,5,HADDOCK,37,11.8
82,1964,196410,SUMMER,1.96E+17,8/2/64 1:50,1090,49,4047,6918,55,10.9,HADDOCK,111,77.1
83,1964,196410,SUMMER,1.96E+17,8/4/64 5:05,1160,68,4109,6626,99,5.2,HADDOCK,3,2.3
84,1964,196410,SUMMER,1.96E+17,8/13/64 14:57,1170,112,4125,6604,137,6,HADDOCK,27,20.9
85,1964,196410,SUMMER,1.96E+17,8/22/64 7:31,1170,179,4112,6620,128,7,HADDOCK,7,2.7
86,1964,196410,SUMMER,1.96E+17,8/12/64 14:08,1190,103,4155,6711,55,12.8,HADDOCK,225,205.5
87,1964,196410,SUMMER,1.96E+17,8/13/64 5:36,1190,108,4145,6700,60,13,HADDOCK,1445,512.1
88,1964,196410,SUMMER,1.96E+17,8/12/64 9:39,1210,101,4205,6731,73,8,HADDOCK,89,8.6
89,1964,196410,SUMMER,1.96E+17,8/12/64 20:45,1220,105,4212,6658,183,5,HADDOCK,27,12.2
90,1964,196410,SUMMER,1.96E+17,8/2/64 5:16,1250,51,4107,6920,51,9.3,HADDOCK,462,393.7
91,1964,196410,SUMMER,1.96E+17,8/18/64 2:57,1290,138,4244,6800,179,4.7,HADDOCK,10,10
92,1964,196410,SUMMER,1.96E+17,8/21/64 3:47,1310,165,4248,6539,119,2,HADDOCK,182,15.4
93,1964,196410,SUMMER,1.96E+17,8/19/64 6:55,1340,149,4355,6717,146,5.1,HADDOCK,1,2.3
94,1964,196410,SUMMER,1.96E+17,8/19/64 20:00,1350,153,4439,6611,119,6.5,HADDOCK,9,17.7
95,1964,196410,SUMMER,1.96E+17,8/18/64 0:45,1360,137,4253,6742,220,5.2,HADDOCK,1,0
96,1964,196410,SUMMER,1.96E+17,8/16/64 11:47,1370,124,4309,6938,70,6,HADDOCK,183,89.8
97,1964,196410,SUMMER,1.96E+17,8/17/64 15:00,1380,134,4325,6832,165,4.9,HADDOCK,1,0
98,1964,196413,FALL,1.96E+17,10/29/64 4:30,1090,38,4050,6947,35,11.1,HADDOCK,5,13.6
99,1964,196413,FALL,1.96E+17,10/29/64 8:07,1090,40,4038,6956,57,11.3,HADDOCK,4,0.5
100,1964,196413,FALL,1.96E+17,11/1/64 14:15,1130,70,4047,6738,66,10.8,HADDOCK,458,136.1
101,1964,196413,FALL,1.96E+17,11/23/64 13:10,1160,156,4130,6623,82,8,HADDOCK,273,59
102,1964,196413,FALL,1.96E+17,11/1/64 22:44,1190,72,4109,6732,51,11.1,HADDOCK,385,109.3
103,1964,196413,FALL,1.96E+17,12/4/64 15:53,1200,184,4152,6727,44,7.3,HADDOCK,456,314.3
104,1964,196413,FALL,1.96E+17,12/4/64 8:22,1220,179,4153,6807,183,5,HADDOCK,4,9.1
105,1964,196413,FALL,1.96E+17,11/24/64 21:30,1220,169,4204,6742,174,6,HADDOCK,12,8.2
106,1964,196413,FALL,1.96E+17,12/4/64 5:35,1220,177,4147,6819,101,6.5,HADDOCK,12,24
107,1964,196413,FALL,1.96E+17,10/30/64 17:40,1240,55,4126,6907,146,5.7,HADDOCK,22,26.8
108,1964,196413,FALL,1.96E+17,11/25/64 4:47,1240,171,4158,6849,128,5.1,HADDOCK,57,5.4
109,1964,196413,FALL,1.96E+17,11/10/64 23:57,1270,88,4228,6959,137,5.2,HADDOCK,5,11.8
110,1964,196413,FALL,1.96E+17,11/11/64 18:53,1280,95,4236,6917,230,5,HADDOCK,3,4.1
111,1964,196413,FALL,1.96E+17,11/24/64 2:40,1290,161,4210,6624,183,7.3,HADDOCK,28,15
112,1964,196413,FALL,1.96E+17,11/24/64 15:03,1300,167,4231,6656,311,6,HADDOCK,18,15.4
113,1964,196413,FALL,1.96E+17,11/22/64 8:37,1320,145,4241,6615,64,5.5,HADDOCK,56,47.2
114,1964,196413,FALL,1.96E+17,11/21/64 12:12,1330,138,4345,6631,91,6.8,HADDOCK,250,104.8
115,1964,196413,FALL,1.96E+17,11/21/64 20:39,1330,141,4311,6635,101,5.7,HADDOCK,36,38.1
116,1964,196413,FALL,1.96E+17,11/21/64 18:32,1340,140,4322,6639,91,6,HADDOCK,128,89.8
117,1964,196413,FALL,1.96E+17,11/14/64 20:25,1350,120,4434,6615,119,7,HADDOCK,36,16.2
118,1964,196413,FALL,1.96E+17,11/12/64 21:42,1370,105,4314,6900,165,5.3,HADDOCK,9,11.8
119,1964,196413,FALL,1.96E+17,11/12/64 10:13,1400,100,4316,7015,91,7,HADDOCK,6,6.8
120,1965,196502,WINTER,1.97E+17,4/5/65 9:10,1130,155,4032,6753,101,2.9,HADDOCK,123,21.3
121,1965,196502,WINTER,1.97E+17,4/5/65 18:28,1130,159,4047,6724,88,3,HADDOCK,25,7.3
122,1965,196502,WINTER,1.97E+17,4/7/65 18:16,1170,176,4117,6616,119,3.9,HADDOCK,78,38.1
123,1965,196502,WINTER,1.97E+17,2/14/65 12:37,1180,69,4155,6545,209,4.6,HADDOCK,3,7.7
124,1965,196502,WINTER,1.97E+17,4/6/65 10:48,1190,167,4129,6748,37,3,HADDOCK,124,431.4
125,1965,196502,WINTER,1.97E+17,3/1/65 6:00,1200,96,4205,6715,48,2.6,HADDOCK,7,2.3
126,1965,196502,WINTER,1.97E+17,2/27/65 9:25,1250,76,4102,6915,55,2,HADDOCK,2,0.5
127,1965,196502,WINTER,1.97E+17,2/2/65 5:58,1260,5,4229,7029,55,2.3,HADDOCK,25,14.1
128,1965,196502,WINTER,1.97E+17,2/2/65 12:26,1270,7,4307,7014,128,4,HADDOCK,22,21.3
129,1965,196502,WINTER,1.97E+17,2/7/65 23:20,1280,14,4243,6938,256,4.5,HADDOCK,15,11.8
130,1965,196502,WINTER,1.97E+17,2/8/65 7:05,1280,16,4202,6926,210,4.7,HADDOCK,3,4.1
131,1965,196502,WINTER,1.97E+17,2/8/65 23:31,1290,21,4226,6819,203,5.6,HADDOCK,11,25.4
132,1965,196502,WINTER,1.97E+17,2/9/65 2:47,1370,22,4250,6828,165,5.3,HADDOCK,10,19.1
133,1965,196502,WINTER,1.97E+17,2/9/65 5:37,1370,23,4259,6850,176,4.9,HADDOCK,17,10
134,1965,196502,WINTER,1.97E+17,2/10/65 1:35,1380,29,4340,6847,124,3,HADDOCK,2,0
135,1965,196510,SUMMER,1.97E+17,8/4/65 21:48,1010,161,4001,7333,38,5.8,HADDOCK,1,0
136,1965,196510,SUMMER,1.97E+17,8/4/65 6:16,1020,157,3924,7245,80,4.2,HADDOCK,3,0
137,1965,196510,SUMMER,1.97E+17,8/10/65 10:49,1090,189,4056,7041,48,5.9,HADDOCK,5,0
138,1965,196510,SUMMER,1.97E+17,7/12/65 2:33,1160,37,4201,6648,66,9.5,HADDOCK,77,60.8
139,1965,196510,SUMMER,1.97E+17,7/30/65 22:58,1160,113,4133,6654,66,10.9,HADDOCK,2018,1105.4
140,1965,196510,SUMMER,1.97E+17,7/31/65 16:47,1180,119,4108,6620,186,8.7,HADDOCK,3,1.8
141,1965,196510,SUMMER,1.97E+17,7/10/65 15:20,1210,23,4143,6821,60,8,HADDOCK,20,9.5
142,1965,196510,SUMMER,1.97E+17,7/11/65 22:13,1220,35,4209,6718,115,5,HADDOCK,26,7.7
143,1965,196510,SUMMER,1.97E+17,7/12/65 5:55,1220,39,4210,6642,110,4.5,HADDOCK,47,23.6
144,1965,196510,SUMMER,1.97E+17,7/8/65 12:40,1260,3,4221,7028,88,3.6,HADDOCK,2,2.7
145,1965,196510,SUMMER,1.97E+17,7/8/65 15:10,1260,4,4208,7021,57,3,HADDOCK,1,0
146,1965,196510,SUMMER,1.97E+17,7/11/65 11:10,1290,31,4229,6740,220,6,HADDOCK,3,4.1
147,1965,196510,SUMMER,1.97E+17,7/12/65 8:42,1300,40,4221,6651,348,6,HADDOCK,1,1.8
148,1965,196510,SUMMER,1.97E+17,7/12/65 12:54,1310,42,4245,6658,174,6.5,HADDOCK,6,3.6
149,1965,196510,SUMMER,1.97E+17,7/17/65 20:22,1310,85,4255,6610,154,5.5,HADDOCK,65,34.9
150,1965,196510,SUMMER,1.97E+17,7/17/65 22:41,1320,86,4240,6608,64,5.9,HADDOCK,91,44.9
151,1965,196510,SUMMER,1.97E+17,7/16/65 1:30,1350,72,4419,6655,137,5.1,HADDOCK,7,14.5
152,1965,196510,SUMMER,1.97E+17,7/15/65 20:40,1390,70,4417,6739,84,6,HADDOCK,191,90.3
153,1965,196510,SUMMER,1.97E+17,7/14/65 17:35,1400,59,4326,7000,110,4.7,HADDOCK,4,1.8
154,1965,196514,FALL,1.97E+17,11/8/65 3:23,1010,183,4011,7308,42,9.5,HADDOCK,1,0
155,1965,196514,FALL,1.97E+17,10/30/65 20:45,1130,129,4040,6734,88,9.4,HADDOCK,53,38.1
156,1965,196514,FALL,1.97E+17,10/17/65 20:50,1160,88,4200,6643,66,11,HADDOCK,124,83.5
157,1965,196514,FALL,1.97E+17,10/29/65 19:56,1160,120,4139,6616,84,9.5,HADDOCK,60,20.9
158,1965,196514,FALL,1.97E+17,10/16/65 18:45,1170,80,4144,6546,137,8.5,HADDOCK,36,28.1
159,1965,196514,FALL,1.97E+17,10/28/65 17:19,1190,113,4113,6759,46,15.5,HADDOCK,44,28.1
160,1965,196514,FALL,1.97E+17,10/17/65 22:10,1210,89,4204,6645,73,10,HADDOCK,99,81.6
161,1965,196514,FALL,1.97E+17,10/18/65 11:00,1210,92,4207,6702,58,7.6,HADDOCK,49,33.1
162,1965,196514,FALL,1.97E+17,10/17/65 17:07,1220,86,4210,6629,146,6.8,HADDOCK,74,59
163,1965,196514,FALL,1.97E+17,10/19/65 8:10,1220,101,4202,6749,101,,HADDOCK,3,4.5
164,1965,196514,FALL,1.97E+17,10/11/65 4:26,1250,31,4141,6944,55,5.4,HADDOCK,94,67.6
165,1965,196514,FALL,1.97E+17,10/7/65 5:20,1260,5,4239,7015,82,4.8,HADDOCK,43,49.9
166,1965,196514,FALL,1.97E+17,10/7/65 2:57,1270,4,4233,7001,135,5,HADDOCK,3,5
167,1965,196514,FALL,1.97E+17,10/7/65 13:56,1270,9,4306,7018,128,4,HADDOCK,,3.2
168,1965,196514,FALL,1.97E+17,10/14/65 12:06,1290,64,4233,6613,192,8,HADDOCK,18,8.6
169,1965,196514,FALL,1.97E+17,10/17/65 12:45,1290,85,4210,6616,192,8,HADDOCK,35,31.8
170,1965,196514,FALL,1.97E+17,10/14/65 1:27,1330,59,4337,6622,80,7.4,HADDOCK,103,77.1
171,1966,196601,WINTER,1.97E+17,2/22/66 20:25,1020,184,4014,7219,51,5,HADDOCK,4,3.2
172,1966,196601,WINTER,1.97E+17,2/20/66 13:27,1070,164,4008,7116,101,3,HADDOCK,2,1.4
173,1966,196601,WINTER,1.97E+17,2/17/66 1:08,1130,128,4047,6708,95,4,HADDOCK,3,1.8
174,1966,196601,WINTER,1.97E+17,2/17/66 15:05,1130,134,4049,6807,60,2.5,HADDOCK,4,10
175,1966,196601,WINTER,1.97E+17,2/16/66 21:19,1180,126,4054,6635,165,5.7,HADDOCK,182,123.8
176,1966,196601,WINTER,1.97E+17,2/3/66 21:15,1210,73,4150,6800,64,4.2,HADDOCK,3,1.8
177,1966,196601,WINTER,1.97E+17,1/21/66 9:13,1240,25,4210,6902,146,5.1,HADDOCK,26,10
178,1966,196601,WINTER,1.97E+17,1/21/66 19:17,1240,29,4138,6910,145,5.5,HADDOCK,28,14.5
179,1966,196601,WINTER,1.97E+17,2/9/66 18:46,1250,75,4144,6948,48,3.3,HADDOCK,1,3.6
180,1966,196601,WINTER,1.97E+17,2/9/66 20:05,1250,76,4150,6952,57,2.9,HADDOCK,1,0
181,1966,196601,WINTER,1.97E+17,1/19/66 2:00,1260,4,4226,7022,44,4,HADDOCK,25,14.5
182,1966,196601,WINTER,1.97E+17,1/19/66 14:39,1270,10,4319,6959,135,2.5,HADDOCK,53,49.9
183,1966,196601,WINTER,1.97E+17,1/20/66 15:49,1280,19,4234,6836,192,6.2,HADDOCK,11,11.3
184,1966,196601,WINTER,1.97E+17,1/21/66 5:03,1280,23,4223,6843,201,6,HADDOCK,6,10
185,1966,196601,WINTER,1.97E+17,2/12/66 21:50,1320,108,4242,6541,91,1.8,HADDOCK,5,1.8
186,1966,196601,WINTER,1.97E+17,1/26/66 18:16,1340,50,4353,6649,134,3.5,HADDOCK,113,63.5
187,1966,196601,WINTER,1.97E+17,1/22/66 11:04,1360,34,4318,6741,265,5.5,HADDOCK,1,1.4
188,1966,196601,WINTER,1.97E+17,1/22/66 16:24,1380,37,4330,6821,183,6,HADDOCK,19,21.8
189,1966,196614,FALL,1.97E+17,10/22/66 6:27,1160,80,4158,6601,91,6.8,HADDOCK,35,40.4
190,1966,196614,FALL,1.97E+17,10/22/66 16:50,1160,85,4144,6623,79,10.9,HADDOCK,58,31.8
191,1966,196614,FALL,1.97E+17,11/7/66 19:05,1170,134,4127,6601,141,5.1,HADDOCK,1,0.5
192,1966,196614,FALL,1.97E+17,10/22/66 1:26,1180,78,4147,6544,201,5.4,HADDOCK,5,12.7
193,1966,196614,FALL,1.97E+17,10/23/66 9:27,1210,92,4207,6717,80,7.4,HADDOCK,1,0.5
194,1966,196614,FALL,1.97E+17,10/23/66 10:48,1220,93,4208,6724,183,6.3,HADDOCK,16,38.6
195,1966,196614,FALL,1.97E+17,10/24/66 9:35,1230,103,4124,6826,70,9.8,HADDOCK,84,94.3
196,1966,196614,FALL,1.97E+17,10/25/66 3:00,1250,110,4121,6921,53,6.1,HADDOCK,33,19.1
197,1966,196614,FALL,1.97E+17,10/13/66 0:55,1280,3,4159,6911,198,4.8,HADDOCK,91,94.8
198,1966,196614,FALL,1.97E+17,10/18/66 7:37,1290,56,4243,6746,192,6.3,HADDOCK,7,9.1
199,1966,196614,FALL,1.97E+17,10/21/66 21:18,1290,76,4205,6552,229,5.2,HADDOCK,13,13.6
200,1966,196614,FALL,1.97E+17,10/19/66 8:50,1320,65,4240,6606,66,6.1,HADDOCK,29,14.5
201,1966,196614,FALL,1.97E+17,10/19/66 10:53,1320,66,4229,6544,86,4.9,HADDOCK,92,10.9
202,1966,196614,FALL,1.97E+17,10/17/66 19:35,1340,52,4313,6645,132,6.3,HADDOCK,14,16.8
203,1966,196614,FALL,1.97E+17,10/17/66 2:17,1350,44,4433,6625,201,6.9,HADDOCK,95,93
204,1966,196614,FALL,1.97E+17,10/16/66 16:39,1360,39,4407,6733,220,6.3,HADDOCK,1,0.9
205,1966,196614,FALL,1.97E+17,10/15/66 12:50,1380,28,4334,6854,124,,HADDOCK,7,8.2
206,1966,196614,FALL,1.97E+17,10/15/66 14:52,1380,29,4329,6859,132,5.1,HADDOCK,8,12.2
207,1967,196721,FALL,1.97E+17,12/8/67 14:50,1100,346,4024,6933,68,8.8,HADDOCK,3,5.4
208,1967,196721,FALL,1.97E+17,12/3/67 9:40,1160,311,4109,6706,64,8.1,HADDOCK,1,0.5
209,1967,196721,FALL,1.97E+17,11/17/67 10:40,1180,272,4117,6610,183,6.9,HADDOCK,14,28.1
210,1967,196721,FALL,1.97E+17,12/2/67 23:45,1190,306,4120,6719,42,9.5,HADDOCK,15,19.1
211,1967,196721,FALL,1.97E+17,11/17/67 19:30,1210,275,4205,6628,84,,HADDOCK,10,12.2
212,1967,196721,FALL,1.97E+17,11/9/67 14:55,1270,216,4323,7001,132,5.2,HADDOCK,4,5.4
213,1967,196721,FALL,1.97E+17,11/18/67 1:25,1300,278,4225,6636,326,7,HADDOCK,5,17.7
214,1967,196721,FALL,1.97E+17,11/14/67 4:16,1310,251,4248,6540,124,7.1,HADDOCK,7,3.2
215,1967,196721,FALL,1.97E+17,11/14/67 2:25,1320,250,4250,6550,91,7.6,HADDOCK,23,19.1
216,1967,196721,FALL,1.97E+17,11/11/67 5:17,1350,232,4429,6618,143,7.3,HADDOCK,16,23.6
217,1967,196721,FALL,1.97E+17,11/11/67 11:25,1350,234,4412,6655,174,6.2,HADDOCK,4,6.8
218,1967,196721,FALL,1.97E+17,12/2/67 0:05,1370,299,4247,6911,134,5.5,HADDOCK,4,7.3
219,1967,196721,FALL,1.97E+17,11/10/67 6:47,1380,222,4336,6813,179,6,HADDOCK,19,25.4
220,1967,196721,FALL,1.97E+17,11/15/67 4:00,1410,260,4249,6436,113,4.5,HADDOCK,11,10.9
221,1968,196803,SPRING,1.97E+17,4/16/68 5:00,1100,212,4043,6907,66,4.1,HADDOCK,2,2.3
222,1968,196803,SPRING,1.97E+17,3/18/68 20:49,1160,118,4103,6649,73,3.1,HADDOCK,35,73
223,1968,196803,SPRING,1.97E+17,4/17/68 15:10,1190,227,4132,6723,49,5.1,HADDOCK,23,43.5
224,1968,196803,SPRING,1.97E+17,4/20/68 21:20,1200,237,4146,6734,55,5.1,HADDOCK,8,20
225,1968,196803,SPRING,1.97E+17,4/20/68 11:17,1220,232,4210,6723,183,6.2,HADDOCK,7,14.1
226,1968,196803,SPRING,1.97E+17,4/22/68 7:03,1240,252,4155,6943,137,4.5,HADDOCK,13,17.7
227,1968,196803,SPRING,1.97E+17,3/27/68 4:43,1270,138,4230,6956,176,3.8,HADDOCK,28,43.5
228,1968,196803,SPRING,1.97E+17,3/28/68 14:10,1280,150,4254,6948,232,8,HADDOCK,1,0.5
229,1968,196803,SPRING,1.97E+17,3/28/68 8:23,1380,148,4323,6924,165,5.8,HADDOCK,2,2.7
230,1968,196803,SPRING,1.97E+17,3/27/68 10:23,1400,141,4252,7037,91,2.1,HADDOCK,3,5.4
231,1968,196803,SPRING,1.97E+17,4/1/68 12:38,1410,183,4312,6447,150,9.6,HADDOCK,11,7.7
232,1968,196817,FALL,1.97E+17,11/3/68 2:49,1230,164,4102,6854,71,9,HADDOCK,2,2.7
233,1968,196817,FALL,1.97E+17,11/4/68 0:00,1240,174,4150,6833,165,6.1,HADDOCK,4,9
234,1968,196817,FALL,1.97E+17,11/19/68 23:23,1260,237,4235,7013,70,8.7,HADDOCK,4,5.9
235,1968,196817,FALL,1.97E+17,11/20/68 21:20,1280,242,4217,6944,247,,HADDOCK,14,35.8
